area_code,year,corporate_tax_rate
ITA,2001,56.4361041675539
ITA,2002,54.2034818450349
ITA,2003,51.7698864173265
ITA,2004,52.8615396059397
ITA,2005,54.0267453701728
ITA,2006,54.9205920156223
ITA,2007,56.3554590812908
ITA,2008,57.5478108417924
ITA,2009,54.1086231211089
ITA,2010,54.2553773169785
ITA,2011,52.8654601392617
ITA,2012,53.2191647798371
ITA,2013,53.5644306414163
ITA,2014,52.3819549682104
ITA,2015,52.9280347772205
ITA,2016,51.6473314610026
ITA,2017,52.0333487295777
ITA,2018,51.5669773474497
ITA,2019,52.0923238752832
ITA,2020,54.4294431805036
ITA,2021,52.7850440375339
ITA,2022,53.2244220529071
ITA,2023,55.0018300989008
ITA,2024,55.4288602745557
