area_code,year,agricultural_productivity
IT,2002,1294762.0
IT,2002,0.7
IT,2002,164347.0
IT,2002,100.0
IT,2002,100.0
IT,2002,1836692.0
IT,2002,100.0
IT,2002,17474.0
IT,2002,32097.0
IT,2002,24789.0
IT,2002,100.0
IT,2003,1376952.0
IT,2003,0.7
IT,2003,193959.0
IT,2003,100.0
IT,2003,100.0
IT,2003,1954773.0
IT,2003,100.0
IT,2003,19625.0
IT,2003,38362.0
IT,2003,27860.0
IT,2003,100.0
IT,2004,1205034.0
IT,2004,0.7
IT,2004,197682.0
IT,2004,100.0
IT,2004,100.0
IT,2004,1837941.0
IT,2004,100.0
IT,2004,21641.0
IT,2004,39775.0
IT,2004,33007.0
IT,2004,100.0
IT,2005,1271893.0
IT,2005,0.8
IT,2005,198826.0
IT,2005,100.0
IT,2005,100.0
IT,2005,1627594.0
IT,2005,100.0
IT,2005,23262.0
IT,2005,37861.0
IT,2005,29767.0
IT,2005,100.0
IT,2006,1227047.0
IT,2006,0.8
IT,2006,185082.0
IT,2006,100.0
IT,2006,100.0
IT,2006,1647584.0
IT,2006,100.0
IT,2006,22569.0
IT,2006,37184.0
IT,2006,30303.0
IT,2006,100.0
IT,2007,1301485.0
IT,2007,0.8
IT,2007,193369.0
IT,2007,100.0
IT,2007,100.0
IT,2007,1622828.0
IT,2007,100.0
IT,2007,24636.0
IT,2007,39980.0
IT,2007,30719.0
IT,2007,100.0
IT,2008,1271979.0
IT,2008,0.8
IT,2008,177984.0
IT,2008,100.0
IT,2008,100.0
IT,2008,1629831.0
IT,2008,100.0
IT,2008,25077.0
IT,2008,40872.0
IT,2008,32132.0
IT,2008,100.0
IT,2009,1228186.0
IT,2009,0.8
IT,2009,172824.0
IT,2009,100.0
IT,2009,100.0
IT,2009,1591362.0
IT,2009,100.0
IT,2009,23750.0
IT,2009,37796.0
IT,2009,30773.0
IT,2009,100.0
IT,2010,0.6
IT,2010,100.0
IT,2010,100.0
IT,2010,100.0
IT,2010,100.0
IT,2010,23828.0
