area_code,year,income_tax_rate
ITA,2001,35.5934129509484
ITA,2002,33.7939047242522
ITA,2003,32.2188461764648
ITA,2004,32.5374159393332
ITA,2005,33.13852696463
ITA,2006,34.6237310770065
ITA,2007,35.3059440844505
ITA,2008,35.419676249978
ITA,2009,32.7067693223001
ITA,2010,33.0643254624994
ITA,2011,32.497663328266
ITA,2012,33.1845879097717
ITA,2013,33.3301836326311
ITA,2014,32.4910520265622
ITA,2015,32.4967008274681
ITA,2016,32.0237793163447
ITA,2017,32.0294261360552
ITA,2018,31.3084441288919
ITA,2019,31.6198118896441
ITA,2020,32.9262318743385
ITA,2021,31.8971938590535
ITA,2022,32.1408656219985
ITA,2023,33.6663117463236
ITA,2024,34.6950353035215
